CPU COOLER,PRICE,Inventory,cooler_fan_rpm,cooler_color
NZXT Kraken X63 98.17 CFM Liquid,11650,0,500 - 2000 RPM,Black
Cooler Master Hyper 212 RGB Black Edition 57.3 CFM,12650,0,650 - 2000 RPM,Black
Deepcool CASTLE 360EX 64.4 CFM Liquid,19450,0,500 - 1800 RPM,Black
be quiet! Dark Rock Pro 4 50.5 CFM,19450,0,1500 RPM,Black
Corsair H100i RGB PLATINUM 75 CFM Liquid,19100,0,2400 RPM,Black
Intel E97379-001,15300,0,1200 - 2800 RPM,Black
Corsair iCUE H100i RGB PRO XT 75 CFM Liquid,23700,0,2400 RPM,Black
Cooler Master MASTERLIQUID ML120L RGB V2 65.59 CFM Liquid,20700,0,650 - 1800 RPM,Black
Lian Li GALAHAD AIO 360 RGB 69.17 CFM Liquid,15550,0,800 - 1900 RPM,Black
Asus ROG Strix LC 240 80.95 CFM Liquid,18850,0,800 - 2500 RPM,Black
Corsair iCUE H115i ELITE CAPELLIX 97 CFM Liquid,16800,0,2000 RPM,Black
EK EK-AIO 360 D-RGB 66.04 CFM Liquid,20450,0,450 - 2600 RPM,Black
CRYORIG H7 49 CFM,14050,0,330 - 1600 RPM,Black
Corsair H100i RGB PLATINUM SE 63 CFM Liquid,19300,0,2200 RPM,Black
Thermaltake CLP0556 39.7 CFM Sleeve Bearing,20700,0,1900 - 2300 RPM,Black
Corsair H115i RGB PLATINUM 97 CFM Liquid,23050,0,2000 RPM,Black
Noctua NH-D15 82.5 CFM,14950,0,300 - 1500 RPM,Black
Noctua NH-D15S chromax.black 82.51 CFM,17350,0,300 - 1500 RPM,Black
NZXT Kraken X53 73.11 CFM Liquid,15450,0,500 - 2000 RPM,Black
ID-COOLING IS-60 EVO ARGB 54.6 CFM,19150,0,500 - 2000 RPM,Black
Lian Li GALAHAD AIO 240 RGB 69.17 CFM Liquid,20600,0,800 - 1900 RPM,Black
NZXT Kraken Z53 73.11 CFM Liquid,26500,0,500 - 2000 RPM,Black
NZXT Kraken M22 Liquid,12850,0,500 - 2000 RPM,Black
Deepcool GAMMAXX L240 V2 69.34 CFM Liquid,25950,0,500 - 1800 RPM,Black / White
NZXT Kraken X62 Rev 2 98.17 CFM Liquid,14250,0,500 - 1800 RPM,Black
Noctua NH-U12S SE-AM4,14150,0,300 - 1500 RPM,Black
Corsair iCUE H100i ELITE CAPELLIX 75 CFM Liquid,20450,0,2400 RPM,Black
Vetroo V5 52 CFM,20000,0,800 - 1700 RPM,Black
Enermax ETS-T50 AXE ARGB 71.32 CFM,20500,0,500 - 1600 RPM,Black
Noctua NH-D15 chromax.black 82.52 CFM,14750,0,300 - 1500 RPM,Black
ARCTIC Liquid Freezer II 280 72.8 CFM Liquid,17900,0,200 - 1700 RPM,Black
Enermax Liqmax III 360 ARGB 72.1 CFM Liquid,15850,0,500 - 1600 RPM,Black
Noctua NH-L12 Ghost S1 37.8 CFM,17800,0,300 - 1600 RPM,Silver / Beige
NZXT Kraken Z63 98.17 CFM Liquid,12900,0,500 - 1800 RPM,Black
Cooler Master MasterLiquid ML240L RGB 66.7 CFM Liquid,24700,0,650 - 2000 RPM,Black
Cooler Master MasterLiquid 120 66.7 CFM Liquid,15100,0,650 - 2000 RPM,Black
Corsair iCUE H150i RGB PRO XT 75 CFM Liquid,28450,0,2400 RPM,Black
Noctua NH-D14 64.95 CFM,18700,0,900 - 1200 RPM,Black
Cooler Master MasterLiquid ML240L V2 RGB 62 CFM Liquid,24500,0,650 - 1800 RPM,Black
EK EK-AIO 240 D-RGB 66.04 CFM Liquid,25900,0,450 - 2600 RPM,Black
Cooler Master Hyper 212 Black Edition 42 CFM,13800,0,650 - 2000 RPM,Black
Cooler Master Hyper 212 LED Turbo White Edition 66.3 CFM,7250,0,600 - 1600 RPM,White
Corsair H55 57 CFM Liquid,13600,0,1700 RPM,Black
CRYORIG C7 40.5 CFM,16600,0,600 - 2500 RPM,Black
Corsair H100x 57.2 CFM Liquid,11700,0,1700 RPM,Black
ARCTIC Liquid Freezer II 120 56.3 CFM Liquid,18000,0,200 - 1800 RPM,Black
NZXT Kraken Z73 73.11 CFM Liquid,22900,0,500 - 1800 RPM,Black
be quiet! Dark Rock Slim,15250,0,1500 RPM,Black
MSI MAG CORE LIQUID 240R 78.73 CFM Liquid,22400,0,500 - 2000 RPM,Black
upHere C92 70 CFM,16150,0,800 - 1800 RPM,Black
ARCTIC Liquid Freezer II 360 56.3 CFM Liquid,18450,0,800 - 2000 RPM,Black
ARCTIC Freezer 34 eSports DUO,27400,0,200 - 2100 RPM,Black
MSI Core Frozr XL 71.27 CFM,14450,0,500 - 1800 RPM,Black
Scythe Mugen 5 Rev. B 51.17 CFM,21850,0,300 - 1200 RPM,Black
NZXT Kraken X53 RGB 52.44 CFM Liquid,27950,0,500 - 1500 RPM,Black
Noctua NH-U12A 60.09 CFM,15950,0,450 - 2000 RPM,Black
Deepcool GAMMAXX GT 29.5 CFM,5550,0,500 - 1500 RPM,Black
Noctua NH-U12A chromax.black 60.09 CFM,18800,0,450 - 2000 RPM,Black
Scythe FUMA 2 51.17 CFM,18050,0,300 - 1200 RPM,Black / Silver
Cooler Master Hyper 212 EVO 82.9 CFM Sleeve Bearing,11050,0,600 - 2000 RPM,Black
Noctua NH-U9S chromax.black 46.4 CFM,14400,0,400 - 2000 RPM,Black
NZXT Kraken X73 73.11 CFM Liquid,17900,0,500 - 2000 RPM,Black
MSI MAG CORE LIQUID 360R 78.73 CFM Liquid,26100,0,500 - 2000 RPM,Black
ID-COOLING PINKFLOW 240 55.2 CFM Liquid,24300,0,900 - 2000 RPM,Black
Cooler Master Hyper T2 54.8 CFM Sleeve Bearing,8850,0,2800 RPM,Black
Noctua NH-L9a-AM4 chromax.black 33.8 CFM,14350,0,600 - 2500 RPM,Black
ID-COOLING ZOOMFLOW 240X SNOW 62 CFM Liquid,26150,0,700 - 1500 RPM,Black
ID-COOLING FROSTFLOW X 240 SNOW 74.5 CFM Liquid,13000,0,700 - 1800 RPM,Black
be quiet! Pure Rock 2 Black,15900,0,1500 RPM,Black
Corsair H100 92 CFM Liquid,21550,0,1300 - 2500 RPM,Black
Deepcool CAPTAIN 240EX RGB 153.04 CFM Liquid,17400,0,500 - 1800 RPM,Black
Asus ROG STRIX LC 240 RGB White 80.95 CFM Liquid,26300,0,800 - 2500 RPM,Black
Fractal Design Celsius+ S28 Prisma PWM ARGB 103.9 CFM Liquid,14600,0,500 - 1700 RPM,Black
Cooler Master Hyper TX3 Evo 43.1 CFM,14150,0,800 - 2200 RPM,Black
ARCTIC Liquid Freezer II 360 A-RGB 48.8 CFM Liquid,18450,0,200 - 1800 RPM,Black
Cooler Master MasterLiquid Lite 120 66.7 CFM Liquid,12150,0,650 - 2000 RPM,Black
Deepcool GAMMAXX 400 Blue 74.34 CFM,3250,0,900 - 1500 RPM,Black
Corsair H100i PRO 75 CFM Liquid,15750,0,2400 RPM,Black
Deepcool AS500 70.81 CFM,4850,0,500 - 1200 RPM,Black / Silver
Asus TUF Gaming LC 240 RGB 67 CFM Liquid,29150,0,800 - 2000 RPM,Black
ARCTIC Liquid Freezer II 420 72.8 CFM Liquid,28700,0,200 - 1700 RPM,Black
ARCTIC Liquid Freezer II 240 A-RGB 48.8 CFM Liquid,15400,0,200 - 1800 RPM,Black
Cooler Master V8 69.69 CFM Rifle Bearing,13350,0,800 - 1800 RPM,Black
ARCTIC Liquid Freezer II 240 56.3 CFM Liquid,15850,0,200 - 1800 RPM,Black
Enermax LiqTech TR4 360 102.17 CFM Liquid,27350,0,500 - 2300 RPM,Black
Noctua NH-C14S 82.52 CFM,16950,0,300 - 1500 RPM,Black
Cooler Master Hyper 212 LED 66.3 CFM Rifle Bearing,13500,0,600 - 1600 RPM,Black
EVGA CLC 360 74.82 CFM Liquid,14100,0,500 - 2400 RPM,Black
Noctua NH-L9i chromax.black 33.84 CFM,19300,0,600 - 2500 RPM,Black
Deepcool Castle 240 RGB V2 69.34 CFM Liquid,22300,0,500 - 1800 RPM,Black
Noctua NH-U12S chromax.black 55 CFM,19500,0,300 - 1500 RPM,Black
Noctua NH-D15S 82.52 CFM,17900,0,300 - 1500 RPM,Black
ID-COOLING SE-224-XT 76.16 CFM,16650,0,700 - 1800 RPM,Black
Noctua NH-U12S 55 CFM,18800,0,300 - 1500 RPM,Black
Cooler Master MasterLiquid ML120R RGB 66.7 CFM Liquid,18900,0,650 - 2000 RPM,Black
Intel BXTS13X 74 CFM Liquid,12500,0,800 - 2200 RPM,Black
ARCTIC Freezer i13 X,22400,0,300 - 2000 RPM,Black
ID-COOLING SE-224-XT Basic 76.16 CFM,20850,0,700 - 1800 RPM,Black / Gray
Silverstone PF240-ARGB 94 CFM Liquid,12300,0,600 - 2200 RPM,Black
NZXT Kraken X52 Liquid,12700,0,500 - 2000 RPM,Black
Noctua NH-U12S redux 70.75 CFM,19150,0,450 - 1700 RPM,Black
Deepcool ASSASSIN III 90.37 CFM,6650,0,400 - 1400 RPM,Black / Silver
Fractal Design Celsius S36 87.6 CFM Liquid,11500,0,500 - 2000 RPM,Black
EVGA CLC 280 113.5 CFM Liquid,27350,0,600 - 2200 RPM,Black
be quiet! Pure Rock Slim 35.14 CFM,17100,0,0,Black
NZXT Kraken X73 RGB 52.44 CFM Liquid,13350,0,500 - 1500 RPM,Black
Cooler Master i71C RGB 37 CFM Rifle Bearing,13350,0,650 - 1800 RPM,Black
Cooler Master MasterLiquid ML240 Illusion 47.2 CFM Liquid,28050,0,650 - 1800 RPM,Black
EK EK-AIO 280 D-RGB 116 CFM Liquid,28100,0,500 - 2000 RPM,Black / Translucent White
be quiet! Pure Rock Slim 2,21450,0,0,Black
Asus ROG RYUJIN 360 121.8 CFM Liquid,16300,0,450 - 2000 RPM,Black
Phanteks Glacier One 280MP 93.05 CFM Liquid,19800,0,500 - 2000 RPM,Black
Cooler Master Hyper N520 43.8 CFM Sleeve Bearing,8950,0,0,Black
CRYORIG H7 Quad Lumi 49 CFM,17350,0,330 - 1600 RPM,Black
Corsair H150i PRO 47.3 CFM Liquid,19000,0,1600 RPM,Black
Gigabyte AORUS ATC700 53 CFM,14650,0,500 - 1700 RPM,Black
Corsair A500 75 CFM,12000,0,2400 RPM,Black / Silver
EK EK-AIO Elite 360 D-RGB 66.04 CFM Liquid,28650,0,550 - 2200 RPM,Black
Cooler Master MasterLiquid ML360 Mirror Liquid,12900,0,650 - 1800 RPM,Black
AMD Wraith Max 55.78 CFM,5500,0,550 - 1700 RPM,Black
Corsair H100i v2 70.69 CFM Liquid,28550,0,2435 RPM,Black
Deepcool GAMERSTORM CAPTAIN 240PRO V2 69.34 CFM Liquid,11350,0,500 - 1800 RPM,Black
