Power Supply,Power Supply Price,psu_efficiency_rating,psu_wattage,Inventory
SeaSonic PRIME Ultra Titanium 1000 W 80+ Titanium Certified  Modular ATX,53700,80+ Titanium,1000 W,1
Corsair SF 450 W 80+ Gold Certified  Modular SFX,10000,80+ Gold,450 W,1
SeaSonic PRIME Platinum 1300 W 80+ Platinum Certified  Modular ATX,67000,80+ Platinum,1300 W,1
EVGA B5 650 W 80+ Bronze Certified  Modular ATX,19500,80+ Bronze,650 W,1
EVGA SuperNOVA 750 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,750 W,1
Thermaltake Toughpower GF1 PE 850 W 80+ Gold Certified  Modular ATX,23500,80+ Gold,850 W,1
SeaSonic PRIME Ultra Titanium 750 W 80+ Titanium Certified  Modular ATX,37700,80+ Titanium,750 W,1
Corsair SF 600 W 80+ Gold Certified  Modular SFX,15500,80+ Gold,600 W,1
Thermaltake Toughpower Grand RGB Platinum 850 W 80+ Platinum Certified  Modular ATX,29000,80+ Platinum,850 W,1
Asus ROG Strix 650 W 80+ Gold Certified  Modular ATX,27000,80+ Gold,650 W,1
SeaSonic G12 GC 850 W 80+ Gold Certified  Modular ATX,28000,80+ Gold,850 W,1
Thermaltake Toughpower iRGB PLUS Platinum 850 W 80+ Platinum Certified  Modular ATX,45000,80+ Platinum,850 W,1
Corsair CXM 550 W 80+ Bronze Certified  Modular ATX,16000,80+ Bronze,550 W,1
Corsair AX 860 W 80+ Platinum Certified  Modular ATX,5500,80+ Platinum,860 W,1
Corsair CX 430 W 80+ Bronze Certified  Modular ATX,12000,80+ Bronze,430 W,1
Apevia Prestige 800 W 80+ Gold Certified  Modular ATX,17500,80+ Gold,800 W,1
Rosewill Capstone 750 W 80+ Gold Certified  Modular ATX,19000,80+ Gold,750 W,1
be quiet! Dark Power 12 1000 W 80+ Titanium Certified  Modular ATX,52000,80+ Titanium,1000 W,1
Asus TUF Gaming 650 W 80+ Bronze Certified  Modular ATX,18500,80+ Bronze,650 W,1
EVGA G2 750 W 80+ Gold Certified  Modular ATX,19000,80+ Gold,750 W,1
Corsair CX (2017) 650 W 80+ Bronze Certified  Modular ATX,20000,80+ Bronze,650 W,1
Corsair HXi 750 W 80+ Platinum Certified  Modular ATX,32000,80+ Platinum,750 W,1
ARESGAME AGV 650 W 80+ Bronze Certified  Modular ATX,12500,80+ Bronze,650 W,1
SeaSonic FOCUS Plus Gold 650 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,650 W,1
Thermaltake Smart Pro RGB 650 W 80+ Bronze Certified  Modular ATX,21000,80+ Bronze,650 W,1
Corsair CXM V2 (2017) 750 W 80+ Bronze Certified  Modular ATX,24500,80+ Bronze,750 W,1
EVGA SuperNOVA GM 550 W 80+ Gold Certified  Modular SFX,17500,80+ Gold,550 W,1
EVGA G3 650 W 80+ Gold Certified  Modular ATX,15000,80+ Gold,650 W,1
Corsair RMx 1000 W 80+ Gold Certified  Modular ATX,35000,80+ Gold,1000 W,1
SeaSonic FOCUS Plus Gold 750 W 80+ Gold Certified  Modular ATX,29500,80+ Gold,750 W,1
Antec High Current Gamer Gold 850 W  Certified Fully Modular ATX,23000,0,850 W,1
Fractal Design Ion Gold 750 W 80+ Gold Certified  Modular ATX,22000,80+ Gold,750 W,1
Cooler Master MWE White V2 230V 550 W 80+ Certified  Modular ATX,12000,80+,550 W,1
EVGA G5 650 W 80+ Gold Certified  Modular ATX,18000,80+ Gold,650 W,1
OCZ Fatal1ty 750 W 80+ Bronze Certified  Modular ATX,17500,80+ Bronze,750 W,1
BitFenix Whisper M 850 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,850 W,1
PC Power & Cooling Power Master 600 W 80+ Bronze Certified  Modular ATX,16000,80+ Bronze,600 W,1
Cooler Master Silent Pro Gold 800 W 80+ Gold Certified  Modular ATX,18000,80+ Gold,800 W,1
