Motherboard,Motherboard Price,mobo_socket_cpu,mobo_form_factor,mobo_memory_max,mobo_memory_slots,mobo_color,Inventory
Asus ROG STRIX Z690-F GAMING WIFI ATX LGA1700,40600,LGA1700,ATX,128 GB,4,Black / Silver
ASRock B550M Steel Legend Micro ATX AM4,38450,AM4,Micro ATX,128 GB,4,Silver / Black
Gigabyte B450M DS3H V2 Micro ATX AM4,30900,AM4,Micro ATX,128 GB,4,Black
Gigabyte B550 AORUS PRO AC ATX AM4,22450,AM4,ATX,128 GB,4,Black / Orange
Gigabyte B450 AORUS ELITE V2 ATX AM4,28700,AM4,ATX,128 GB,4,Black
MSI MPG Z490 CARBON EK X ATX LGA1200,52800,LGA1200,ATX,128 GB,4,Black
ASRock B460M Steel Legend Micro ATX LGA1200,32400,LGA1200,Micro ATX,128 GB,4,Black / Silver
ASRock Z490 Phantom Gaming-ITX/TB3 Mini ITX LGA1200,71600,LGA1200,Mini ITX,64 GB,2,Black
MSI MPG Z590 GAMING CARBON WIFI ATX LGA1200,41000,LGA1200,ATX,128 GB,4,Black
Gigabyte B450M DS3H Micro ATX AM4,30900,AM4,Micro ATX,64 GB,4,Black / Silver
Asus MAXIMUS VIII HERO ATX LGA1151,89650,LGA1151,ATX,64 GB,4,Black / Red
Gigabyte Z490 AORUS ELITE AC ATX LGA1200,53850,LGA1200,ATX,128 GB,4,Black / Silver
Asus PRIME B450M-A/CSM Micro ATX AM4,25150,AM4,Micro ATX,64 GB,4,Black / Silver
ASRock X470 Taichi ATX AM4,36100,AM4,ATX,64 GB,4,Black / Silver
ASRock B550M/ac Micro ATX AM4,22650,AM4,Micro ATX,128 GB,4,Black / White
Asus TUF GAMING B550-PLUS ATX AM4,21500,AM4,ATX,128 GB,4,Black
Gigabyte GA-A320M-S2H Micro ATX AM4,17300,AM4,Micro ATX,32 GB,2,Black
Gigabyte B550 VISION D ATX AM4,31950,AM4,ATX,128 GB,4,White / Black
MSI H410M PRO-VH Micro ATX LGA1200,37700,LGA1200,Micro ATX,64 GB,2,Black / Silver
MSI Z370 GAMING PRO CARBON ATX LGA1151,56050,LGA1151,ATX,64 GB,4,Black
Gigabyte Z390 AORUS ULTRA ATX LGA1151,46350,LGA1151,ATX,128 GB,4,Black / Silver
Gigabyte TRX40 DESIGNARE XL ATX sTRX4,29200,sTRX4,XL ATX,256 GB,8,Black / Silver
Asus STRIX Z270-E GAMING ATX LGA1151,69800,LGA1151,ATX,64 GB,4,Black / Silver
Gigabyte GA-H61M-DS2 Micro ATX LGA1155,15100,LGA1155,Micro ATX,16 GB,2,Blue / White
MSI B450I GAMING PLUS MAX WIFI Mini ITX AM4,33950,AM4,Mini ITX,64 GB,2,Black
MSI A68HM-E33 V2 Micro ATX FM2+,22450,FM2+,Micro ATX,32 GB,2,Black
Gigabyte B450M DS3H WIFI Micro ATX AM4,36100,AM4,Micro ATX,64 GB,4,Brown / Black
MSI MPG Z490 GAMING CARBON WIFI ATX LGA1200,51300,LGA1200,ATX,128 GB,4,Black / Silver
Asus PRIME B250M-PLUS Micro ATX LGA1151,24150,LGA1151,Micro ATX,64 GB,4,Black / Red
MSI A520M-A PRO Micro ATX AM4,19850,AM4,Micro ATX,64 GB,2,Black
Asus Z97-PRO(Wi-Fi ac) ATX LGA1150,57550,LGA1150,ATX,32 GB,4,Black / Gold
Asus P8P67 LE (REV 3.0) ATX LGA1155,24950,LGA1155,ATX,32 GB,4,0
MSI MPG X570 GAMING PLUS ATX AM4,49450,AM4,ATX,128 GB,4,Black / Red
MSI X470 GAMING PLUS MAX ATX AM4,35000,AM4,ATX,64 GB,4,Black
Gigabyte Z590 AORUS XTREME EATX LGA1200,44400,LGA1200,EATX,128 GB,4,Black
Gigabyte Z590 AORUS PRO AX ATX LGA1200,52450,LGA1200,ATX,128 GB,4,Black
Gigabyte Z590 UD AC ATX LGA1200,59150,LGA1200,ATX,128 GB,4,Black
ASRock Z390 Phantom Gaming-ITX/ac Mini ITX LGA1151,62800,LGA1151,Mini ITX,64 GB,2,Black / Silver
Gigabyte Z390 I AORUS PRO WIFI Mini ITX LGA1151,51150,LGA1151,Mini ITX,64 GB,2,Black / Silver
Asus TUF Z270 MARK 2 ATX LGA1151,65050,LGA1151,ATX,64 GB,4,Black / Yellow
Asus STRIX X299-E GAMING ATX LGA2066,42650,LGA2066,ATX,128 GB,8,Black
Gigabyte Z590 AORUS MASTER ATX LGA1200,58200,LGA1200,ATX,128 GB,4,Black
Asus ROG STRIX Z390-I GAMING Mini ITX LGA1151,61050,LGA1151,Mini ITX,64 GB,2,Black / Silver
ASRock B560M Steel Legend Micro ATX LGA1200,27750,LGA1200,Micro ATX,128 GB,4,Silver / Black
MSI B460M PRO-VDH WIFI Micro ATX LGA1200,39000,LGA1200,Micro ATX,128 GB,4,Black
Asus TUF B450M-PLUS GAMING Micro ATX AM4,22850,AM4,Micro ATX,64 GB,4,Black / Gold
ASRock Z490 Extreme4 ATX LGA1200,63300,LGA1200,ATX,128 GB,4,Black / Silver
Gigabyte GA-990FX-Gaming ATX AM3+,44650,AM3+,ATX,32 GB,4,Black / Red
ASRock Fatal1ty X470 Gaming-ITX/ac Mini ITX AM4,28650,AM4,Mini ITX,32 GB,2,Black / Silver
Asus PRIME Z590-A ATX LGA1200,64500,LGA1200,ATX,128 GB,4,Silver / Black
Asus PRIME B460I-PLUS Mini ITX LGA1200,36000,LGA1200,Mini ITX,64 GB,2,Silver / Black
ASRock H370M-ITX/ac Mini ITX LGA1151,24450,LGA1151,Mini ITX,32 GB,2,Black / Silver
Asus TUF GAMING Z490-PLUS (WI-FI) ATX LGA1200,64900,LGA1200,ATX,128 GB,4,Black
Asus Maximus VI Hero ATX LGA1150,94600,LGA1150,ATX,32 GB,4,0
Asus PRIME Z370-A II ATX LGA1151,63000,LGA1151,ATX,64 GB,4,Black / Silver
Gigabyte X470 AORUS GAMING 7 WIFI ATX AM4,40250,AM4,ATX,64 GB,4,Black / Orange
Asus ROG Crosshair VIII Formula ATX AM4,82750,AM4,ATX,128 GB,4,Black
ASRock B450M-HDV R4.0 Micro ATX AM4,31850,AM4,Micro ATX,32 GB,2,Black / White
Gigabyte B550 VISION D-P ATX AM4,49000,AM4,ATX,128 GB,4,White / Black
Asus ROG Strix X399-E Gaming EATX sTR4,23850,sTR4,EATX,128 GB,8,Black
Asus PRIME Z270-K ATX LGA1151,69050,LGA1151,ATX,64 GB,4,Black / White
ASRock Z590 Extreme ATX LGA1200,59900,LGA1200,ATX,128 GB,4,Black / Blue
