Storage,Storage Price,storage_capacity,storage_type,storage_form_factor,Inventory
Seagate Desktop HDD 4 TB,40000,4 TB,5900RPM,"3.5""",1
Western Digital WD Blue 1 TB,21000,1 TB,5400RPM,"2.5""",1
Western Digital BLACK SERIES 1 TB,28000,1 TB,7200RPM,"3.5""",1
Corsair MP510 960 GB,18000,960 GB,SSD,M.2-2280,1
Toshiba X300 10 TB,47500,10 TB,7200RPM,"3.5""",1
Crucial P5 Plus 500 GB,12500,500 GB,SSD,M.2-2280,1
ADATA XPG GAMMIX S11 Pro 1 TB,24000,1 TB,SSD,M.2-2280,1
Western Digital WD Green 2 TB,29000,2 TB,5400RPM,"3.5""",1
Western Digital Black 8 TB,64000,8 TB,7200RPM,"3.5""",1
Seagate Barracuda 6 TB,38000,6 TB,5400RPM,"3.5""",1
Seagate Enterprise Capacity 10 TB,66000,10 TB,7200RPM,"3.5""",1
Corsair MP400 4 TB,79000,4 TB,SSD,M.2-2280,1
Western Digital WD Red Plus 4 TB,22000,4 TB,5400RPM,"3.5""",1
Toshiba P300 3 TB,21000,3 TB,7200RPM,"3.5""",1
Intel 670p 1 TB,27500,1 TB,SSD,M.2-2280,1
Inland Premium 256 GB,9200,256 GB,SSD,M.2-2280,1
Sabrent Rocket 4 Plus 2 TB,48000,2 TB,SSD,M.2-2280,1
Sabrent Rocket 1 TB,27500,1 TB,SSD,M.2-2242,1
Kingston A400 120 GB,2500,120 GB,SSD,"2.5""",1
Samsung 970 Evo Plus 250 GB,6700,250 GB,SSD,M.2-2280,1
Western Digital WD Blue 320 GB,4000,320 GB,5400RPM,"2.5""",1
SK hynix Gold P31 500 GB,17000,500 GB,SSD,M.2-2280,0
Toshiba X300 6 TB,35000,6 TB,7200RPM,"3.5""",0
Team MP33 128 GB,24700,128 GB,SSD,M.2-2280,0
PNY XLR8 CS03040 1 TB,27500,1 TB,SSD,M.2-2280,0
Seagate BarraCuda Pro 4 TB,40000,4 TB,7200RPM,"3.5""",0
Western Digital Gold 16 TB,80000,16 TB,7200RPM,"3.5""",0
Acer SA100 480 GB,16500,480 GB,SSD,"2.5""",0
ADATA XPG SX6000 Pro 1 TB,22500,1 TB,SSD,M.2-2280,0
Seagate Constellation ES.3 3 TB,34000,3 TB,7200RPM,"3.5""",0
Team EX2 1 TB,24700,1 TB,SSD,"2.5""",0
Samsung 960 PRO 512 GB,14000,512 GB,SSD,M.2-2280,0
SanDisk Ultra 3D 2 TB,45000,2 TB,SSD,"2.5""",0
SanDisk Z400s 256 GB,9200,256 GB,SSD,"2.5""",0
Toshiba MG06ACA800E 8 TB,47500,8 TB,7200RPM,"3.5""",0
Western Digital Red Pro 10 TB,57500,10 TB,7200RPM,"3.5""",0
PNY CS1311 960 GB,24000,960 GB,SSD,"2.5""",0
Western Digital Blue 250 GB,3500,250 GB,SSD,"2.5""",0
Kingston A400 240 GB,4700,240 GB,SSD,"2.5""",0
Toshiba MD04ACA500 5 TB,47500,5 TB,7200RPM,"3.5""",0
Inland Professional 256 GB,9200,256 GB,SSD,M.2-2280,0
PNY CS2130 2 TB,48000,2 TB,SSD,M.2-2280,0
Western Digital WD Red Plus 8 TB,39000,8 TB,7200RPM,"3.5""",0
PNY XLR8 CS3030 1 TB,27500,1 TB,SSD,M.2-2280,0
Samsung 850 EVO 4 TB,75000,4 TB,SSD,"2.5""",0
SanDisk Ultra 3D 1 TB,24700,1 TB,SSD,"2.5""",0
HP EX900 500 GB,16500,500 GB,SSD,M.2-2280,0
Seagate BarraCuda Pro 6 TB,50000,6 TB,7200RPM,"3.5""",0
Samsung XP941 Series 256 GB,9200,256 GB,SSD,M.2-2280,0
Seagate IronWolf Pro 12 TB,50000,12 TB,7200RPM,"3.5""",0
ADATA SU800 2 TB,44000,2 TB,SSD,"2.5""",0
Sabrent Rocket Q4 2 TB,48000,2 TB,SSD,M.2-2280,0
Team CARDEA A440 1 TB,24700,1 TB,SSD,M.2-2280,0
Toshiba MG07ACA12TE 12 TB,47500,12 TB,7200RPM,"3.5""",0
Western Digital WD_BLACK SN750 SE 500 GB,14000,500 GB,SSD,M.2-2280,0
Team T-FORCE DELTA RGB 1 TB,24700,1 TB,SSD,"2.5""",0
Seagate BarraCuda 120 1 TB,12000,1 TB,SSD,"2.5""",0
Kingston UV500 240 GB,3500,240 GB,SSD,"2.5""",0
Hitachi Deskstar 7K2000 2 TB,48000,2 TB,7200RPM,"3.5""",0
Western Digital Gold 4 TB,35000,4 TB,7200RPM,"3.5""",0
ADATA XPG GAMMIX S50 Lite 1 TB,22000,1 TB,SSD,M.2-2280,0
Western Digital Red 3 TB,26700,3 TB,5400RPM,"3.5""",0
